,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,researcher,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,lattes_10_id,event_organization,participation_event,first_doc
105,fa96fb8c-0209-4385-9f55-e3ffa6e69d9c,,,,,,,,,,,,,,,,1,Luana Machado Figuerêdo,Graduação,,,,,,,,,,1,K4489899Y7,,18,
106,b28ba558-b776-4f12-9c32-c8bcd19ad761,,,,,,,,,,,,,,,,,João Batista Pereira Neto,Mestrado,,,,,,,,5,,2,K4770509T2,2,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ef3647fe-7c2b-4f8d-b547-9a798ac8e9f2,,,,,,,,1,2,,,,,,2,14,Dalila Carla Dos Santos,Doutorado,,,,,,,,9,,,K4246067D1,8,10,2018.0
109,f46de6aa-49a5-4c8e-9d79-b488a368c60a,,,,,,,,,,,,,,,,,Jenisson Oliveira Conceição,Especialização,,,,,,,,,,,K4331764J4,,5,
110,423183e4-daab-4b11-803d-1578f4e5828d,,,,,,,,,2,1,,,,1,,1,Paula Aparecida Soriano De Souza Jesuino Rodrigues,Mestrado,,2,,,,,,11,,,K4236577U9,3,7,
111,93346b0a-344a-4815-ac05-7606c6c50ee0,,,,1,1,,,1,,,1,1,,,6,6,Cândido Eugênio Domingues De Souza,Doutorado,1,7,,,,,,6,,,K4211945T7,5,9,2023.0
112,af0e0607-9dcb-4326-becf-eb4ba9947173,,,,4,1,2,3,3,4,4,,,,1,17,19,Wolney Gomes Almeida,Pós-Doutorado,10,31,5,9,4,1,,26,,7,K4227168H1,14,64,2015.0
113,bcaba67c-afae-4d2a-b5bd-718fb4277158,,,,,,,,,,,2,,,,7,,Josaline Chaves Da Costa,Especialização,,,,,,,,1,,,K4734693P1,5,33,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0
116,49b1da74-83e0-4950-be92-54554e6258c3,,,,,,,,,,,,,,,,,Miriam Ramos Dos Santos,Doutorado,,,,,,,,,,,K4556506A4,1,,2021.0
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,3b6fa7d2-d4ce-4fd6-b7a5-b68325ae228f,,,,,,,1,,2,,2,,1,,,8,Ana Paula Amaral De Brito,Doutorado,1,8,,,,,,9,,,K4227487U5,,5,2015.0
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0
121,0212810c-1a98-4d76-91dd-b00b26d51ab5,,,,,,,1,1,1,,2,,2,1,8,38,Laíse Soares Lima,Doutorado,,,,,,,,24,,,K4308449Y5,5,17,2022.0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,7e16ef6b-7aa5-4146-839d-fc1437ddda5a,,,,,1,4,1,,1,1,,,,,2,3,Carla Cardoso,Pós-Doutorado,2,10,,1,,1,,2,,,K4732030Z1,,1,2004.0
124,20267c3b-5bd1-48f6-b1aa-b2ab53783f31,,1,,1,,,,,1,1,2,2,,3,2,7,Alvaro Luis Muller Da Fonseca,Pós-Doutorado,1,14,,,,,,12,,3,K4784643P0,2,35,2012.0
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0
126,fa944583-e97a-49fc-adba-6bca754ff4f6,,,,,,,,,,,,,,,,,Giovani De Campos Carvalho,Especialização,,,,,,,,,,,K4242645D6,,4,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0
128,6d038f57-3fb4-4d44-aa0e-81ef39b4c69c,,,,,,,,,,,1,,,,2,,Fernanda Rebouças Guirra,Mestrado,,,,,,,,,,,K4772564U8,1,10,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,5cbe8263-4464-4884-af9d-865ac4fa9a72,,,,2,,,2,,3,1,2,,10,2,7,12,Helânia Thomazine Porto,Doutorado,2,2,,,,,,12,,,K4750209Y3,19,68,2019.0
132,9556a37f-f92a-4188-a9db-0cd7f2b18f7b,,,,,,,,,,,,1,,,1,4,Leandro Nascimento Bertoldi,Especialização,,,,,,,,,,,K2135854A2,1,23,
133,f265f743-aa34-4ae8-86d9-e0c98491ef1f,,,,,,,,,,,,,,1,3,6,Cristiane Soares Mendes,Mestrado,,,,,,,,17,,,K4718619D3,4,14,
134,20411ef2-d5ba-436a-9c99-576b9fff1a6f,,,,1,1,2,4,,,,,,1,,4,3,Mauricio Santana Moreau,Pós-Doutorado,,5,,2,,1,,6,,,K4701947P5,,,2003.0
135,bc6e676c-e07f-4978-a432-954f1130a475,1,1,,,,4,1,2,3,,1,,9,,2,6,Marcos Da Costa Silva,Doutorado,,2,4,,,,,3,,,K4127659H7,2,26,2016.0
136,aec71add-6708-4828-bcf2-93a72be5dfb7,,,,,,,,,,,,,,,,,Josânia Silva Santos,Mestrado,,,,,,,,4,,,K4551190P5,7,2,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,962a7868-6db1-4b0a-baf5-bc3e1a465173,,,,,,1,,1,,6,,,,,,41,Roueda Abou Said,Doutorado,2,28,,2,,2,,27,,,K4795593T0,3,13,2005.0
140,e7c3275b-5b70-4c44-839a-81adaea77c4f,,,,,,,,,,,,,,,1,,Maria De Fatima Costa Leal,Doutorado,,,,,,,,,,2,K4744007Y5,1,6,2016.0
141,af5bf424-e377-4197-980c-1bb71cdea549,,,,2,,1,,,,,,,,1,9,4,Telma Regina Batista Nascimento,Doutorado,1,,,,,,,4,,,K4734342Y2,3,9,2020.0
142,faa33ad9-4364-4dc8-a94c-3c997dc23171,,,,,,,,,,,,,,,,1,Luiz Carlos Ribeiro Santos,Mestrado,,,,,,,,3,,,K4254050H3,,,
143,915663af-7ee1-4af4-beac-bd3f504c57da,,,,,,3,,1,1,,1,,,,2,26,Márcia Santos Lemos,Doutorado,2,14,8,2,,,,10,,2,K4777674J6,16,13,2009.0
144,1df1de8d-fda8-48b2-bf80-49b24f42cd65,1,,,5,7,5,1,,1,,,1,,,5,6,Afonso Henriques,Doutorado,,8,2,12,,1,,3,,1,K4790797D8,6,28,2006.0
145,7d3fdf21-ffde-4584-814b-2d741ee759e9,,,,,,,,,1,,1,,1,,,1,Givanildo Silva Santos,Mestrado,,,,,,,,2,,,K4219687Y5,24,16,
146,d052cc4b-651d-4c4e-b801-14df7eaee821,,,,,,,,,,,,,,,2,4,Gleiton Silva De Sales,Mestrado,,,,,,,,7,,2,K4592657D1,4,14,
147,e6bfb2cd-d12f-483d-862b-108c3ffe269d,,,,,6,2,1,1,1,,,,,,1,39,Eduardo Koji Tamura,Pós-Doutorado,2,16,2,8,,,,1,,,K4746558E1,4,29,2009.0
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,041e01b7-9c82-4aba-8312-f177122a4d18,,2,,2,,2,,,,,,2,,1,,22,Marco Antonio Costa Simões,Doutorado,3,17,,,,,,6,,,K4707035Z2,19,7,2022.0
150,96125774-c17e-40e2-8b9e-d498268d87af,,,,2,2,,,,,,1,,1,,3,6,Vívian Meira De Oliveira Cotinguiba,Pós-Doutorado,,8,2,1,,,,5,,,K4776355P6,16,21,2013.0
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1b237a0c-12b7-4333-b1da-7971274371e1,,,,1,4,5,5,1,3,,,,,4,23,2,Spensy Kmitta Pimentel,Doutorado,1,2,1,3,1,,,6,,,K4774459P0,54,6,2012.0
153,39e7bf7e-e9ec-45e8-b1d2-2e7266b1b38b,,,,,,,,,,,,,,,1,2,Francisca De Assis De Sá,Especialização,,,,,,,,,,1,K4732766Z8,1,8,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,160d7602-d250-4fba-bbca-af8e00ff6eed,,,,,,,,,,,1,,1,,,8,Danielle Cristine De Figueiredo Barbosa,Mestrado,,2,,,,,,4,,,K4744860D5,1,15,2022.0
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,c3abd5e9-6e6e-4203-bf89-d6931a685956,,,,6,,,,,,,,1,,,3,,Zilda De Oliveira Freitas,Doutorado,,,,,,,,,,,K4744397E0,7,10,2010.0
