,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
57,9070c9ab-0e81-4168-a69d-80532711ab60,,,,4,3,3,2,1,,1,,,,,7,25,Pós-Doutorado,,17,1,31,8,4,,41,,6,48,Gilmário Moreira Brito,2001,UNEB,8.12,1999,1999,1998,1985,1999,,2002.0,
58,b9f7d183-6760-465f-8716-41a561b73270,,,,,1,1,1,4,4,1,1,,2,1,1,65,Doutorado,6,24,,,,,,26,,1,16,Flávia Borges Santos,2005,UESB,7.745,,2024,2003,1994,,,2004.0,
59,9ee5cd7c-6f0f-4265-ade9-c9942ca08e4b,,,,,,,,,,,,,,,,4,Mestrado,,,,,,,,2,,,17,Vanessa Santana Freitas,None,UICL,0.0,,,,2006,,,2020.0,
60,2b2e318e-b007-4e86-b143-b69469a57bcd,,,,,,,,,4,4,2,,1,2,4,11,Mestrado,,,,,,,,3,,1,24,Flávio Alves Oliveira,None,UICL,3.98,,2015,2010,2014,,,2017.0,
61,b66cb519-a501-47c5-bb07-231a1d5ad88b,,,,4,5,7,4,8,8,15,,3,5,3,7,122,Doutorado,3,23,6,13,,,,8,,2,61,Jaílson Santos de Novais,2013,UFSB,29.05,2018,2006,2006,2005,2007,,2010.0,
62,df2312d5-9f4d-4327-a7b1-ab01851e93d0,,,,,1,2,5,5,1,4,1,,,4,5,72,Doutorado,5,8,2,,,,,16,,8,40,Andréia Silva Araujo,2022,UESC,11.855,,2008,2010,2008,2010,,2014.0,
63,194f934e-f9fb-4e66-8355-e12a2227034e,,,,18,9,15,13,18,31,16,4,7,6,14,49,118,Doutorado,,27,7,33,9,,,59,,22,51,Benedito Gonçalves Eugênio,2009,UESB,66.42,2010,2010,2006,2004,2004,,2006.0,
64,4b2a1b63-3211-4d6c-8d14-d33175d1908e,,,,,,,,,,,,,,,,,Graduação,,,,,,,,,,,25,Wenceslau Augusto Dos Santos Júnior,None,UICL,0.0,,,,,,,,
65,0982770b-500b-4c25-9dba-4b7bc8cd63d9,,,,1,,,,,,,,,,,2,2,Mestrado,,2,,,,,,13,,,24,Rita de Cássia Silva Sacramento,None,UNEB,0.0,2023,2018,,2002,,,2002.0,
66,b6e6c711-4f53-4b41-9c24-ba95b915fd6c,,,,,,1,,,,1,4,,2,,2,26,Especialização,,,,,,,,7,,12,51,Cristiano Oliveira de Souza,None,UNEB,2.245,,2020,2016,2015,,,2018.0,
